Name,IrsSubsection,Location,Ein,Mission
Mobile Community Action Inc,501(c)(3) Public Charity,"Mobile, AL",63-0518148,"mobile community action, inc. strives to empower the low income population to achieve maximum potential through the provision of advocacy, education, training, employment, and emergency support services.community action changes people's lives, embodies the spirit of hope, improves communities, and makes america a better place to live. we care about the entire community, and we are dedicated to helping people help themselves and each other."
Country Club of Birmingham,501(c)(7) Social and Recreation Clubs,"Birmingham, AL",63-0049960,"the country club of birmingham is a private club devoted primarily to social activities; mainly dining, entertainment, swimming, golf and tennis. the club grants credit to members, substantially all of whom are local residents."
Young Mens Christian Association,501(c)(3) Public Charity,"Montgomery, AL",63-0288885,"the montgomery ymca, reflecting its judeo-christian heritage, is an association of volunteers, members, and staff open to and serving all, providing programs and services which develop spirit, mind, and body. montgomery ymca statement of purpose ""the young men's christian association, we regard as being in its essential genius, a world wide fellowship, united by a common loyalty to jesus christ, for the purpose of developing christian personality and building a christian society."" the montgomery ymca seeks to help its members: develop self-confidence and self-respect and an appreciation of their own worth as individuals. develop a faith for daily living based upon the teachings of jesus, that they may achieve their highest potential as children of god. grow as responsible members of their families and as citizens of their communities. appreciate that health of mind and body is a sacred gift, and that physical fitness and mental well being are conditions to be achieved and maintained. r"
Food Bank of North Alabama,501(c)(3) Public Charity,"Huntsville, AL",63-0884372,collect warehouse & distribute food to needy organizations
Alabama Insurance Guaranty Association,"501(c)(6) Business Leagues, etc.","Birmingham, AL",63-0810507,see schedule o
Montgomery AIDS Outreach Inc,501(c)(3) Public Charity,"Montgomery, AL",63-0959628,"mao educates the public about hiv/aids and how to prevent transmission of infection. mao provides culturally competant education, medical and social services to people who are living with and affected by hiv/aids and related illnesses."
Ums Wright UmsWright Corporation,501(c)(3) Public Charity,"Mobile, AL",63-0310782,"the organization provides education for preschool - 12th grade -- including academic instruction, student activities, and cafeteria services."
Redstone Military Retirement Residence Association,501(c)(3) Public Charity,"Huntsville, AL",63-1169107,"the organization's mission is to provide housing, healthcare, and related services to meet the needs of elderly persons in the state of alabama."
Mizell Memorial Hospital Inc,501(c)(3) Public Charity,"Opp, AL",63-0307951,"our mission is to provide the highest quality healthcare, in a christian manner with hometown compassion to the communities we serve."
Alabama Education Association Inc,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Montgomery, AL",63-0002660,"to provide maximum educational opportunities for all students by providing a higher quality of teaching, sound programs of instruction, and adequate financing for public education; to seek economic security for all education employees; to increase public awareness of the goals of aea as related to the progress of education; to protect the constitutional, statutory, and human rights of education employees and students; to improve the moral and ethical climate in schools and government; to unite education employees for effective political action; to represent members in their employment relations with their employers."
Health Care Authority of the City of Enterprise Inc,501(c)(3) Public Charity,"Enterprise, AL",63-0481102,publicly supported skilled nursing facility
Community Service Programs of West Alabama Inc,501(c)(3) Public Charity,"Tuscaloosa, AL",63-0671915,csp provides resources and services which resolve immendiate needs and lead to long term self sufficiency for low income and vulnerable populations.
Tombigbee Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Hamilton, AL",63-0211368,to provide electric service and related products and services for our members.
Mercy Life of Alabama,501(c)(3) Public Charity,"Mobile, AL",27-3163002,"we, trinity health pace and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities. in the tradition of the sisters of mercy, we are committed to continuing the healing ministry of jesus christ through home and community-based health care services which address the whole person within a culture of inclusion.mercy life of alabama (mercy life) is a member of trinity health pace and trinity health."
